study_accession	fetch_status	n_samples	children
PRJNA1145617	OK	104	
PRJNA1211045	OK	15	
PRJNA1210771	OK	22	
PRJNA1084222	OK	20	
PRJNA1148150	OK	34	
PRJEB89425	OK	32	
PRJNA399458	OK	1	
PRJNA1229795	OK	62	
PRJNA1244851	OK	36	
PRJNA1209849	OK	1	
PRJNA949809	OK	1	
PRJNA1225421	OK	210	
PRJNA1233886	OK	4	
PRJNA1182340	OK	134	
PRJNA1186832	OK	112	
PRJNA1238482	OK	9	
PRJNA1202651	OK	72	
PRJEB60852	OK	1	
PRJNA1134918	OK	12	
PRJNA594263	OK	18	
PRJNA681546	OK	10	
PRJNA723444	OK	17	
PRJNA1026909	OK	4	
PRJNA1146968	OK	13	
PRJNA1214001	OK	17	
PRJNA1140353	OK	16	
PRJNA1187318	OK	40	
PRJEB79769	OK	96	
PRJNA816829	OK	9	
PRJNA1044797	OK	39	
PRJNA1033630	UMBRELLA	0	PRJNA1006316;PRJNA1124990;PRJNA999720
PRJNA1124990	OK	60	
PRJNA999720	OK	120	
PRJNA1130047	OK	8	
PRJEB43192	UMBRELLA	0	PRJEB39110;PRJEB41323;PRJEB41657;PRJEB43098;PRJEB45273;PRJEB45274;PRJEB46550;PRJEB47609;PRJEB47613;PRJEB51815;PRJEB52095;PRJEB52139
PRJNA1108898	OK	1	
PRJNA1108923	OK	13	
PRJNA1180206	OK	30	
PRJNA1102166	OK	1	
PRJNA1165944	OK	8	
PRJNA560329	OK	589	
PRJNA732531	OK	48	
PRJEB73709	OK	1	
PRJNA1151203	OK	30	
PRJNA1123873	OK	15	
PRJNA1031700	OK	32	
PRJNA1135459	OK	18	
PRJNA952227	OK	28	
PRJNA1108955	OK	21	
PRJNA1144187	OK	48	
PRJNA1302101	OK	2	
PRJNA1477333	OK	48	
PRJNA1442370	OK	75	
PRJEB107655	OK	64	
PRJEB50625	OK	30	
PRJEB82776	OK	279	
PRJNA1056763	OK	327	
PRJNA1212753	OK	60	
PRJNA1367213	OK	109	
PRJNA795985	OK	290	
PRJNA988023	OK	90	
PRJNA1475489	OK	39	
PRJNA1320715	OK	66	
PRJNA1097789	OK	4	
PRJEB106514	OK	23	
PRJNA1399069	OK	30	
PRJEB88111	OK	108	
PRJNA1376267	OK	8	
PRJNA1434035	OK	6	
PRJNA1157396	OK	24	
PRJNA1263030	OK	18	
PRJNA1154995	OK	34	
PRJEB29232	OK	131	
PRJNA1399070	OK	13	
PRJNA1054518	OK	3124	
PRJNA890321	OK	28	
PRJNA1175865	OK	128	
PRJNA792023	OK	29	
PRJEB89408	OK	117	
PRJNA1167890	OK	36	
PRJNA340521	OK	1	
PRJNA752224	OK	20	
PRJNA543906	OK	27	
PRJNA1298916	OK	27	
PRJNA1088789	OK	12	
PRJNA1306187	OK	94	
PRJNA1206451	OK	3	
PRJNA1264687	OK	10	
PRJEB47909	OK	115	
PRJNA1092791	OK	41	
PRJNA956273	OK	12	
PRJNA884830	OK	1	
PRJNA1054761	OK	30	
PRJNA843354	OK	32	
PRJNA805352	OK	1	
PRJNA924947	OK	12	
PRJNA1043846	OK	9	
